window,timestamp,y_true,y_pred
0,2025-08-31,232.13999938964844,234.04156494140625
0,2025-09-01,232.13999938964844,233.8040771484375
0,2025-09-02,229.72000122070312,232.93959045410156
0,2025-09-03,238.47000122070312,232.61415100097656
0,2025-09-04,239.77999877929688,233.1705780029297
1,2025-09-05,239.69000244140625,236.292724609375
1,2025-09-06,239.69000244140625,236.09329223632812
1,2025-09-07,239.69000244140625,235.3023681640625
1,2025-09-08,237.8800048828125,234.5388946533203
1,2025-09-09,234.35000610351562,235.4311065673828
2,2025-09-10,226.7899932861328,238.43984985351562
2,2025-09-11,230.02999877929688,238.21688842773438
2,2025-09-12,234.07000732421875,237.54270935058594
2,2025-09-13,234.07000732421875,236.65553283691406
2,2025-09-14,234.07000732421875,237.48367309570312
3,2025-09-15,236.6999969482422,237.23995971679688
3,2025-09-16,238.14999389648438,236.8981475830078
3,2025-09-17,238.99000549316406,236.35316467285156
3,2025-09-18,237.8800048828125,235.71726989746094
3,2025-09-19,245.5,236.3059539794922
4,2025-09-20,245.5,239.5395050048828
4,2025-09-21,245.5,239.32017517089844
4,2025-09-22,256.0799865722656,238.76824951171875
4,2025-09-23,254.42999267578125,237.5134735107422
4,2025-09-24,252.30999755859375,238.64857482910156
5,2025-09-25,256.8699951171875,244.34689331054688
5,2025-09-26,255.4600067138672,244.3854217529297
5,2025-09-27,255.4600067138672,243.82296752929688
5,2025-09-28,255.4600067138672,241.61782836914062
5,2025-09-29,254.42999267578125,243.40316772460938
