window,timestamp,y_true,y_pred
0,1990-11-20,8.3,12.051492691040039
0,1990-11-21,15.0,12.456216812133789
0,1990-11-22,12.2,12.325113296508789
0,1990-11-23,10.5,12.111230850219727
0,1990-11-24,11.1,11.467377662658691
0,1990-11-25,13.0,11.455087661743164
0,1990-11-26,12.9,11.859885215759277
1,1990-11-27,8.8,12.721814155578613
1,1990-11-28,14.7,12.708938598632812
1,1990-11-29,14.7,12.426609992980957
1,1990-11-30,12.7,12.06704330444336
1,1990-12-01,13.3,11.682962417602539
1,1990-12-02,13.2,11.760934829711914
1,1990-12-03,16.2,11.996469497680664
2,1990-12-04,17.3,15.051473617553711
2,1990-12-05,20.5,14.947903633117676
2,1990-12-06,20.2,14.31309700012207
2,1990-12-07,19.4,13.240123748779297
2,1990-12-08,15.5,12.544514656066895
2,1990-12-09,14.1,12.627096176147461
2,1990-12-10,11.0,13.220730781555176
3,1990-12-11,11.1,13.705724716186523
3,1990-12-12,14.0,14.68661117553711
3,1990-12-13,11.4,14.873495101928711
3,1990-12-14,12.5,14.215252876281738
3,1990-12-15,13.4,13.751225471496582
3,1990-12-16,13.6,13.689530372619629
3,1990-12-17,13.9,13.48335075378418
4,1990-12-18,17.2,14.439698219299316
4,1990-12-19,14.7,14.711997032165527
4,1990-12-20,15.4,14.42134952545166
4,1990-12-21,13.1,13.828855514526367
4,1990-12-22,13.2,13.477744102478027
4,1990-12-23,13.9,13.556802749633789
4,1990-12-24,10.0,13.696966171264648
5,1990-12-25,12.9,12.52132511138916
5,1990-12-26,14.6,13.468283653259277
5,1990-12-27,14.0,13.358233451843262
5,1990-12-28,13.6,12.830202102661133
5,1990-12-29,13.5,12.136438369750977
5,1990-12-30,15.7,12.229856491088867
5,1990-12-31,13.0,12.418397903442383
